Member,Body,District,PictureFile,FullName,Party,District Cities
Chesbro,assembly,2,wesley_chesbro.jpg,Wesley Chesbro,Democrat,"Santa Rosa
Eureka
Windsor"
Evans,senate,2,noreen_evans.jpg,Noreen Evans,Democrat,"Santa Rosa
Eureka
Windsor"
Quirk,assembly,20,bill_quirk.jpg,Bill Quirk,Democrat,"Hayward
Fremont
Union City"
Padilla,senate,20,alex_padilla.jpg,Alex Padilla,Democrat,"Hayward
Fremont
Union City"
Gray,assembly,21,adam_gray.jpg,Adam Gray,Democrat,"Merced
Modesto
Ceres"
Knight,senate,21,steve_knight.jpg,Steve Knight,Republican,"Merced
Modesto
Ceres"
Mullin,assembly,22,kevin_mullin.jpg,Kevin Mullin,Democrat,"San Mateo
Redwood City
South San Francisco"
,senate,22,kevin_de_len.jpg,Kevin de León,Democrat,"San Mateo
Redwood City
South San Francisco"
Patterson,assembly,23,jim_patterson.jpg,Jim Patterson,Republican,"Fresno
Clovis"
Gordon,assembly,24,richard_s_gordon.jpg,Richard S. Gordon,Democrat,"Sunnyvale
Mountain View
Palo Alto"
Hernandez,senate,24,ed_hernandez.jpg,Ed Hernandez,Democrat,"Sunnyvale
Mountain View
Palo Alto"
Wieckowski,assembly,25,bob_wieckowski.jpg,Bob Wieckowski,Democrat,"San Jose
Santa Clara
Fremont"
Liu,senate,25,carol_liu.jpg,Carol Liu,Democrat,"San Jose
Santa Clara
Fremont"
Conway,assembly,26,connie_conway.jpg,Connie Conway,Republican,"Visalia
Tulare
Porterville"
Mitchell,senate,26,holly_mitchell.jpg,Holly Mitchell,Democrat,"Visalia
Tulare
Porterville"
Campos,assembly,27,nora_campos.jpg,Nora Campos,Democrat,San Jose
Pavley,senate,27,fran_pavley.jpg,Fran Pavley,Democrat,San Jose
Fong,assembly,28,paul_fong.jpg,Paul Fong,Democrat,"San Jose
Cupertino
Campbell"
Lieu,senate,28,ted_w_lieu.jpg,Ted W. Lieu,Democrat,"San Jose
Cupertino
Campbell"
Stone,assembly,29,mark_stone.jpg,Mark Stone,Democrat,"San Jose
Santa Cruz
Seaside"
Huff,senate,29,bob_huff.jpg,Bob Huff,Republican,"San Jose
Santa Cruz
Seaside"
